length,gamut,line
16,20,"[7, 7, 7, 9, 9, 11, 9, 9, 11, 11, 11, 11, 12, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 2, 2, 2, 0, 0, 0, 0, 2, 2, 4, 4, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 11, 9, 9, 7, 9, 7]"
16,24,"[7, 9, 7, 9, 9, 9, 9, 11, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 2, 4, 2, 0, 0, 0, 0, 2, 2, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 11, 11, 11, 11, 12, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 11, 9, 9, 9, 7]"
16,24,"[7, 9, 7, 9, 11, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 12, 11, 11, 11, 11, 5, 5, 5, 5, 4, 4, 4, 2, 0, 0, 0, 0, 2, 4, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 11, 9, 11, 9, 9, 7, 9, 7]"
16,24,"[7, 9, 7, 9, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 4, 2, 2, 0, 0, 0, 0, 2, 4, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 12, 11, 11, 11, 11, 9, 11, 9, 9, 9, 7, 9, 7]"
16,24,"[7, 9, 9, 9, 11, 11, 11, 9, 11, 11, 11, 11, 9, 9, 9, 12, 11, 11, 11, 11, 5, 5, 5, 5, 4, 4, 4, 2, 0, 0, 0, 0, 2, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 11, 11, 9, 7, 7, 9, 7]"
16,24,"[7, 9, 9, 12, 11, 9, 9, 11, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 4, 4, 2, 0, 0, 0, 0, 2, 2, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 11, 9, 9, 9, 7, 9, 7]"
16,28,"[7, 9, 7, 12, 11, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 4, 2, 2, 0, 0, 0, 0, 2, 4, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 11, 9, 11, 9, 7, 9, 9, 7]"
16,28,"[7, 9, 9, 9, 11, 9, 11, 11, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 2, 2, 2, 0, 0, 0, 0, 2, 4, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5, 11, 11, 11, 11, 12, 9, 9, 9, 11, 11, 11, 11, 11, 11, 9, 11, 9, 7, 9, 7]"
16,28,"[7, 9, 7, 12, 11, 11, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 2, 4, 2, 0, 0, 0, 0, 2, 4, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 11, 11, 9, 9, 9, 9, 9, 7]"
16,28,"[7, 7, 9, 9, 9, 9, 9, 9, 11, 11, 11, 11, 12, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 4, 4, 2, 0, 0, 0, 0, 2, 2, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 11, 11, 11, 9, 9, 9, 7]"
16,28,"[7, 7, 9, 7, 9, 9, 11, 11, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 4, 2, 2, 0, 0, 0, 0, 2, 4, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 12, 11, 11, 11, 11, 9, 11, 11, 9, 9, 9, 9, 7]"
16,32,"[7, 9, 7, 9, 7, 9, 9, 12, 11, 11, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 2, 2, 2, 0, 0, 0, 0, 2, 2, 4, 4, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 11, 11, 11, 9, 9, 7, 9, 7]"
16,32,"[7, 9, 7, 9, 7, 9, 9, 12, 11, 11, 11, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 2, 2, 2, 0, 0, 0, 0, 2, 2, 4, 4, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 11, 9, 11, 9, 9, 9, 7]"
16,32,"[7, 9, 9, 9, 7, 7, 7, 9, 9, 9, 9, 11, 11, 11, 11, 11, 12, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 2, 4, 2, 0, 0, 0, 0, 2, 4, 2, 4, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 11, 9, 7, 7, 9, 7]"
16,32,"[7, 9, 7, 9, 7, 9, 9, 9, 11, 11, 11, 11, 11, 11, 11, 11, 9, 9, 9, 12, 11, 11, 11, 11, 5, 5, 5, 5, 4, 4, 2, 2, 0, 0, 0, 0, 2, 4, 4, 4, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 11, 11, 11, 9, 9, 9, 9, 7]"
16,32,"[7, 7, 9, 9, 9, 7, 7, 9, 9, 9, 9, 11, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 4, 4, 2, 0, 0, 0, 0, 2, 2, 4, 4, 5, 5, 5, 5, 11, 11, 11, 11, 12, 9, 9, 9, 11, 11, 11, 11, 9, 9, 11, 11, 9, 9, 9, 7]"
20,16,"[7, 9, 7, 9, 11, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 12, 11, 11, 11, 11, 5, 5, 5, 5, 4, 4, 4, 2, 0, 0, 0, 0, 2, 4, 4, 4, 5, 5, 5, 5, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 11, 11, 11, 9, 7, 9, 9, 7]"
20,16,"[7, 9, 7, 7, 9, 11, 11, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 5, 5, 5, 5, 4, 4, 4, 2, 0, 0, 0, 0, 2, 4, 2, 4, 5, 5, 5, 5, 7, 7, 7, 7, 5, 5, 5, 5, 5, 5, 5, 5, 11, 11, 11, 11, 12, 9, 9, 9, 11, 11, 11, 11, 9, 11, 11, 11, 9, 9, 9, 7]"
